gene_ID,Fishers_sym
isogroup16120,0
isogroup16121,0
isogroup16123,0
isogroup16125,0
isogroup16129,0
isogroup16130,1
isogroup16131,0
isogroup16139,0
isogroup16145,0
isogroup16150,0
isogroup1616,1
isogroup16160,0
isogroup16161,0
isogroup16163,0
isogroup16164,0
isogroup16167,0
isogroup16168,1
isogroup16174,0
isogroup16177,0
isogroup16178,0
isogroup1618,1
isogroup1619,0
isogroup1620,0
isogroup16216,1
isogroup16218,0
isogroup16227,0
isogroup1623,1
isogroup16230,1
isogroup16233,0
isogroup1624,0
isogroup16247,1
isogroup16249,0
isogroup16266,0
isogroup16273,0
isogroup16275,0
isogroup16276,0
isogroup1628,0
isogroup1629,1
isogroup163,1
isogroup1630,0
isogroup16301,1
isogroup16306,1
isogroup1631,0
isogroup16311,1
isogroup16349,0
isogroup16356,0
isogroup1636,0
isogroup16365,1
isogroup16369,0
isogroup16376,0
isogroup16377,0
isogroup1638,1
isogroup16381,0
isogroup16392,0
isogroup16396,0
isogroup16400,1
isogroup1641,0
isogroup16412,1
isogroup16414,1
isogroup16420,0
isogroup16423,1
isogroup16424,0
isogroup16425,0
isogroup16433,0
isogroup1644,0
isogroup16443,0
isogroup16449,1
isogroup16453,0
isogroup16454,0
isogroup16455,0
isogroup16461,0
isogroup16467,1
isogroup16472,0
isogroup16476,0
isogroup16484,0
isogroup16485,0
isogroup16497,0
isogroup16499,0
isogroup165,0
isogroup1650,1
isogroup16513,1
isogroup16514,0
isogroup16516,1
isogroup16519,0
isogroup16527,0
isogroup16542,0
isogroup16543,0
isogroup16544,1
isogroup16545,1
isogroup16550,0
isogroup16555,1
isogroup16558,0
isogroup16559,0
isogroup16560,1
isogroup16568,1
isogroup16575,0
isogroup16581,0
isogroup16589,0
isogroup16594,1
isogroup16599,1
isogroup16604,0
isogroup16613,0
isogroup16625,0
isogroup16629,0
isogroup16633,1
isogroup16637,0
isogroup16645,0
isogroup16646,0
isogroup16648,0
isogroup16651,1
isogroup16654,1
isogroup16656,1
isogroup1666,0
isogroup16667,1
isogroup16673,0
isogroup16678,0
isogroup16679,0
isogroup16682,0
isogroup16693,0
isogroup16697,0
isogroup16703,0
isogroup16720,1
isogroup16721,0
isogroup16722,0
isogroup16729,0
isogroup16740,0
isogroup16784,0
isogroup16792,0
isogroup16819,1
isogroup16826,0
isogroup16832,1
isogroup16835,0
isogroup16837,0
isogroup16843,0
isogroup16849,1
isogroup16850,0
isogroup16853,1
isogroup16855,0
isogroup16857,1
isogroup16860,0
isogroup16863,0
isogroup16866,0
isogroup16867,0
isogroup16868,0
isogroup16869,0
isogroup16878,0
isogroup16881,0
isogroup16884,0
isogroup16886,1
isogroup1689,0
isogroup16893,0
isogroup16894,0
isogroup16897,0
isogroup16900,0
isogroup16912,0
isogroup16913,0
isogroup16921,0
isogroup16924,1
isogroup16934,1
isogroup16936,0
isogroup16938,1
isogroup16958,0
isogroup16959,0
isogroup16961,1
isogroup16969,0
isogroup16975,0
isogroup16980,0
isogroup16983,0
isogroup170,0
isogroup17001,0
isogroup17006,0
isogroup1701,0
isogroup17027,0
isogroup17030,0
isogroup17040,1
isogroup17041,0
isogroup17043,1
isogroup17044,0
isogroup17047,0
isogroup17060,1
isogroup17061,0
isogroup17073,1
isogroup17074,1
isogroup17083,1
isogroup17092,1
isogroup17102,0
isogroup17103,0
isogroup17104,1
isogroup17111,0
isogroup17113,1
isogroup17114,0
isogroup17121,0
isogroup17122,1
isogroup17124,1
isogroup17125,0
isogroup17131,0
isogroup17132,0
isogroup17135,1
isogroup17138,0
isogroup1714,1
isogroup17142,1
isogroup17143,0
isogroup17146,0
isogroup17156,1
isogroup17157,0
isogroup1716,0
isogroup17160,0
isogroup17161,1
isogroup17165,0
isogroup17166,0
isogroup1717,1
isogroup17171,0
isogroup17172,1
isogroup17174,0
isogroup17182,0
isogroup172,0
isogroup17201,0
isogroup17202,1
isogroup17203,0
isogroup17243,0
isogroup17277,1
isogroup17302,0
isogroup17313,0
isogroup17316,1
isogroup1732,0
isogroup17333,0
isogroup17334,0
isogroup17335,1
isogroup17339,0
isogroup17341,0
isogroup17342,1
