genes,signedlogP
Oarb_101124_c0_g1,-0.414718386479541
Oarb_101132_c1_g1,1.59917265441547
Oarb_101141_c0_g1,-3.23349166701
Oarb_101155_c1_g1,-0.139262210115449
Oarb_101155_c2_g1,1.17659204049463
Oarb_101157_c0_g2,0.220046863956575
Oarb_101161_c1_g1,-1.38559651583032
Oarb_101171_c0_g1,2.81312294611431
Oarb_101185_c0_g1,1.01384023197346
Oarb_101196_c0_g1,-0.0728095069740678
Oarb_101202_c0_g1,-1.81789793804764
Oarb_101222_c0_g1,0.371788128377752
Oarb_101223_c0_g1,-0.540124057564808
Oarb_101227_c2_g1,-2.04906971599148
Oarb_101227_c3_g1,1.97418316983203
Oarb_101228_c1_g1,0.00829292725928812
Oarb_101228_c1_g2,0.930608871104802
Oarb_101248_c1_g1,0.795750477609488
Oarb_101268_c0_g1,0.318935922359988
Oarb_101279_c4_g1,0.458530423230891
Oarb_101296_c0_g1,0.816421682307652
Oarb_101298_c0_g1,1.97605950785574
Oarb_101302_c0_g1,-2.1609164321124
Oarb_101306_c0_g1,2.48248564604758
Oarb_101307_c0_g2,0.670939593137124
Oarb_101334_c2_g1,0.232016936873727
Oarb_101373_c0_g1,0.2606761919935
Oarb_101388_c0_g1,0.0464001596710262
Oarb_101388_c0_g2,-1.37477465707761
Oarb_101424_c0_g1,-0.000894020758608702
Oarb_101426_c0_g1,-1.21093010733066
Oarb_101433_c2_g2,0.0988485303353421
Oarb_101440_c0_g2,-0.655424944870397
Oarb_101442_c3_g1,0.566983575133461
Oarb_101442_c3_g3,0.653338523000876
Oarb_101447_c0_g1,-0.311231348075998
Oarb_101476_c0_g1,-1.83360659847542
Oarb_101513_c2_g1,0.811860431968985
Oarb_101571_c1_g1,-0.439659063692541
Oarb_101575_c0_g1,0.863378763440565
Oarb_101584_c0_g1,0.137906345512699
Oarb_101614_c2_g1,-0.552669277826529
Oarb_101615_c0_g2,0.669066742136035
Oarb_101630_c1_g1,1.57588786452498
Oarb_101658_c3_g2,0.391051437228227
Oarb_101659_c3_g1,-0.17925781098445
Oarb_101671_c3_g1,0.811730278186464
Oarb_101684_c2_g1,0.639963244917944
Oarb_101738_c4_g2,0.646976303997855
Oarb_101749_c0_g1,0.478920586665644
Oarb_101749_c0_g2,1.08750901658453
Oarb_101762_c0_g1,5.49911976664103
Oarb_101763_c0_g1,-3.08952938614505
Oarb_101765_c1_g1,0.0127840997875469
Oarb_101770_c0_g1,-0.0925637073924068
Oarb_101792_c1_g1,1.42300850621326
Oarb_101810_c0_g2,-0.381466664574531
Oarb_101818_c4_g2,0.671206888273715
Oarb_101833_c0_g1,-3.16327667588504
Oarb_101835_c0_g1,-0.102895477827727
Oarb_101870_c0_g1,-1.31703609933082
Oarb_101883_c0_g1,-0.457065789911756
Oarb_101892_c0_g3,-0.77029127186322
Oarb_101895_c0_g1,0.948669946672292
Oarb_101917_c3_g1,0.00690499921722669
