	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
symbB.v1.2.001534	0	0	0	1	0	0	0	0	0	0	
symbB.v1.2.001536	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001554	0	0	0	0	0	0	1	2	0	0	
symbB.v1.2.001563	2	0	0	1	1	0	0	4	0	0	
symbB.v1.2.001576	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001580	0	0	0	0	0	0	0	0	1	0	
symbB.v1.2.001591	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001622	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001630	0	0	0	0	0	0	1	2	0	0	
symbB.v1.2.001637	0	1	1	0	2	0	0	0	0	0	
symbB.v1.2.001642	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001643	0	0	0	0	0	0	2	1	0	0	
symbB.v1.2.001646	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001648	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001651	2	0	0	0	0	0	0	0	0	0	
symbB.v1.2.001653	2	5	6	3	2	10	0	6	4	2	
symbB.v1.2.001655	0	1	2	0	1	0	1	0	0	0	
symbB.v1.2.001663	0	0	0	1	0	0	0	0	1	1	
symbB.v1.2.001669	2	1	1	0	1	0	1	0	0	0	
symbB.v1.2.001671	0	0	0	0	0	0	0	2	0	0	
symbB.v1.2.001673	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001678	0	0	0	0	0	0	0	0	0	1	
symbB.v1.2.001682	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001704	83	116	79	52	56	103	66	139	74	113	
symbB.v1.2.001717	1	0	0	0	0	0	0	0	0	0	
symbB.v1.2.001718	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001723	0	1	1	2	0	3	0	2	3	0	
symbB.v1.2.001724	3	2	1	0	1	2	1	1	3	2	
symbB.v1.2.001728	2	1	0	0	1	0	0	0	0	1	
symbB.v1.2.001729	1	2	2	0	1	1	0	3	0	1	
symbB.v1.2.001744	16	10	14	9	8	12	9	12	6	9	
symbB.v1.2.001745	0	0	0	0	0	1	0	2	0	0	
symbB.v1.2.001775	0	0	0	0	1	0	0	0	0	0	
symbB.v1.2.001795	0	0	0	0	0	1	0	2	0	0	
symbB.v1.2.001809	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001826	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001846	0	1	0	0	0	0	1	2	0	0	
symbB.v1.2.001848	0	3	2	2	0	4	1	1	1	0	
symbB.v1.2.001858	0	0	1	0	0	0	0	0	0	0	
symbB.v1.2.001862	1	0	0	0	0	0	0	2	0	0	
symbB.v1.2.001880	0	1	1	0	1	1	0	1	0	0	
symbB.v1.2.001913	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001917	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001933	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001953	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001956	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001959	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001975	0	1	0	0	0	0	0	0	0	0	
symbB.v1.2.001976	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001982	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001983	0	3	0	1	3	0	0	3	3	0	
symbB.v1.2.001985	0	1	0	0	0	1	0	2	1	0	
