	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
Slin_CCMP2456.gene10239.mRNA1	0	0	0	0	0	0	1	1	0	1	
Slin_CCMP2456.gene1024.mRNA1	1	1	1	1	0	0	1	3	0	0	
Slin_CCMP2456.gene10240.mRNA1	1	2	3	3	2	0	0	3	2	3	
Slin_CCMP2456.gene10241.mRNA1	2	0	0	1	0	1	1	1	0	0	
Slin_CCMP2456.gene10242.mRNA1	5	5	4	3	2	2	1	4	8	2	
Slin_CCMP2456.gene10244.mRNA1	1	6	2	1	4	11	1	5	1	0	
Slin_CCMP2456.gene10246.mRNA1	3	2	2	1	3	1	0	2	3	1	
Slin_CCMP2456.gene10247.mRNA1	3	4	3	0	3	2	0	3	1	1	
Slin_CCMP2456.gene10248.mRNA1	1	1	0	1	1	1	2	2	2	0	
Slin_CCMP2456.gene1025.mRNA1	2	2	0	1	3	3	1	4	2	2	
Slin_CCMP2456.gene10250.mRNA1	2	4	1	3	0	0	1	3	1	0	
Slin_CCMP2456.gene10251.mRNA1	2	2	2	1	1	5	1	3	0	2	
Slin_CCMP2456.gene10255.mRNA1	1	3	3	2	1	4	0	4	1	4	
Slin_CCMP2456.gene10256.mRNA1	2	0	0	1	0	0	0	0	0	1	
Slin_CCMP2456.gene10257.mRNA1	0	1	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene10258.mRNA1	0	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene10259.mRNA1	3	3	3	1	3	1	2	1	1	2	
Slin_CCMP2456.gene1026.mRNA1	1	3	1	1	0	0	1	0	1	0	
Slin_CCMP2456.gene10260.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10261.mRNA1	0	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene10262.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10263.mRNA1	8	18	25	19	11	17	9	18	11	24	
Slin_CCMP2456.gene10264.mRNA1	20	19	28	12	12	24	20	33	17	26	
Slin_CCMP2456.gene10265.mRNA1	2	6	4	2	1	4	4	7	4	6	
Slin_CCMP2456.gene10268.mRNA1	5	6	1	1	2	5	4	7	4	5	
Slin_CCMP2456.gene1027.mRNA1	0	1	0	1	1	0	1	3	2	1	
Slin_CCMP2456.gene10270.mRNA1	0	3	0	0	2	2	0	0	0	2	
Slin_CCMP2456.gene10272.mRNA1	0	4	0	1	0	0	0	1	0	2	
Slin_CCMP2456.gene10273.mRNA1	5	4	7	4	6	7	3	9	6	8	
Slin_CCMP2456.gene10277.mRNA1	5	8	6	1	7	6	2	7	7	3	
Slin_CCMP2456.gene10278.mRNA1	1	0	0	0	1	2	1	0	2	1	
Slin_CCMP2456.gene1028.mRNA1	0	4	5	0	2	0	1	1	1	4	
Slin_CCMP2456.gene10280.mRNA1	0	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene10288.mRNA1	1	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene1029.mRNA1	0	0	1	0	0	1	0	0	0	0	
Slin_CCMP2456.gene10291.mRNA1	0	1	1	0	0	1	1	2	0	0	
Slin_CCMP2456.gene10296.mRNA1	4	8	2	3	3	3	3	2	1	3	
Slin_CCMP2456.gene10298.mRNA1	1	2	1	1	0	1	2	0	1	2	
Slin_CCMP2456.gene10299.mRNA1	2	8	5	0	1	3	2	2	0	4	
Slin_CCMP2456.gene103.mRNA1	1	0	0	1	0	0	1	0	0	1	
Slin_CCMP2456.gene10300.mRNA1	5	4	2	4	5	6	2	10	3	4	
Slin_CCMP2456.gene10303.mRNA1	3	4	3	4	1	2	1	3	1	0	
Slin_CCMP2456.gene10306.mRNA1	0	0	0	0	1	2	0	0	0	0	
Slin_CCMP2456.gene10307.mRNA1	0	0	0	0	0	0	0	0	0	1	
Slin_CCMP2456.gene10309.mRNA1	2	4	7	6	1	6	1	7	4	2	
Slin_CCMP2456.gene10310.mRNA1	2	3	4	0	2	1	2	6	2	2	
Slin_CCMP2456.gene10311.mRNA1	1	0	1	0	0	0	0	1	0	0	
Slin_CCMP2456.gene10314.mRNA1	0	2	0	2	0	1	1	1	0	1	
Slin_CCMP2456.gene10316.mRNA1	1	0	0	0	0	1	1	0	0	1	
Slin_CCMP2456.gene10317.mRNA1	1	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10318.mRNA1	5	8	9	2	4	6	3	4	3	5	
Slin_CCMP2456.gene1032.mRNA1	2	2	4	0	1	3	3	1	0	5	
Slin_CCMP2456.gene10321.mRNA1	1	1	1	0	1	1	1	0	0	0	
Slin_CCMP2456.gene10323.mRNA1	0	0	0	0	1	0	0	0	0	0	
Slin_CCMP2456.gene10325.mRNA1	1	0	1	0	1	0	0	1	3	1	
Slin_CCMP2456.gene10327.mRNA1	0	0	0	0	0	0	0	1	1	0	
Slin_CCMP2456.gene10328.mRNA1	1	0	0	0	1	1	0	0	1	0	
Slin_CCMP2456.gene1033.mRNA1	0	0	0	0	1	0	0	1	1	0	
Slin_CCMP2456.gene10332.mRNA1	0	1	2	0	0	1	0	0	0	0	
Slin_CCMP2456.gene10334.mRNA1	1	2	0	2	2	1	0	0	0	0	
Slin_CCMP2456.gene10336.mRNA1	2	0	3	1	1	1	0	1	0	1	
Slin_CCMP2456.gene10337.mRNA1	2	5	4	6	4	2	3	5	1	4	
Slin_CCMP2456.gene10338.mRNA1	2	2	1	0	0	2	0	1	1	3	
Slin_CCMP2456.gene1034.mRNA1	2	5	4	2	4	5	5	1	1	4	
Slin_CCMP2456.gene10340.mRNA1	0	1	0	1	0	1	0	0	0	0	
Slin_CCMP2456.gene10341.mRNA1	11	9	14	9	13	10	8	11	4	11	
Slin_CCMP2456.gene10342.mRNA1	2	3	1	0	0	1	1	1	0	1	
Slin_CCMP2456.gene10343.mRNA1	0	1	1	0	0	2	1	0	1	1	
Slin_CCMP2456.gene10344.mRNA1	15	13	10	5	7	8	1	10	9	14	
Slin_CCMP2456.gene10345.mRNA1	4	6	8	4	3	4	1	4	2	3	
Slin_CCMP2456.gene10346.mRNA1	0	1	1	0	0	1	0	1	0	1	
Slin_CCMP2456.gene10347.mRNA1	3	2	0	4	1	3	1	2	1	1	
